metric,value
input_mode,internal
flits_requested,3000
requests_delivered,3000
responses_generated,3000
delivered_flits,3000
fdi_backpressure_events,0
completed_payload_bytes,708000
flit_bytes,256
payload_bytes,236
flit_efficiency,0.921875
memory_delay_ui,32
num_lanes,32
lane_rate_gtps,24
modulation,pam4
serialize_ui,32
active_ns,4004.2
throughput_gbps,1414.52
capacity_gbps,1536
bandwidth_utilization,0.920908
avg_latency_ns,5.50004
p50_latency_ns,5.50004
p95_latency_ns,5.50004
p99_latency_ns,5.50004
forward_avg_latency_ns,2.08335
forward_p95_latency_ns,2.08335
forward_p99_latency_ns,2.08335
reverse_avg_latency_ns,2.08335
reverse_p95_latency_ns,2.08335
reverse_p99_latency_ns,2.08335
forward_tx_new_flits,3000
reverse_tx_new_flits,3000
forward_tx_replay_flits,0
reverse_tx_replay_flits,0
forward_ack_count,3000
reverse_ack_count,2999
forward_nak_count,0
reverse_nak_count,0
forward_crc_fail_count,0
reverse_crc_fail_count,0
forward_integrity_errors,0
reverse_integrity_errors,0
tx_new_flits,6000
tx_replay_flits,0
ack_count,5999
nak_count,0
stale_nak_count,0
replay_timeout_events,0
crc_fail_count,0
seq_fail_count,0
duplicate_drop_count,0
max_retry_buffer_occupancy,3
retry_buffer_full_events,0
total_phy_frames,6000
symbol_error_rate,0
bit_error_rate,0
observed_flit_fail_rate,0
deskew_failures,0
extra_error_flits,0
cdr_lock_loss_count,0
integrity_errors,0
watchdog_fired,0
link_state,active
